,accuracy,f1,auc_roc,precision,recall
Logistic Regression,0.9384509423329785,0.9679960931141136,0.8297692872887583,0.9442327235772358,0.9929864404515396
XGBoost,0.9333792498904264,0.965226485391202,0.809430933137399,0.9449670442183401,0.9863736557344199
