method,ROC_AUC,PR_AUC,F1
Logistic+ADASYN,0.8369495519374335,0.9844131481856813,0.8560851558999192
BalancedRandomForest,0.8382570853895177,0.9841040929324822,0.8642104565900612
EasyEnsemble,0.8383387806890694,0.9844123310091608,0.8805345585343531
Logistic_class_weight,0.8408062878012329,0.9849014137719995,0.8796670984683441
